college_name,college_link,duration,fees,rank,placement,c_type,program
"Thakur College of Engineering & Technology (TCET), Mumbai",https://www.collegesearch.in/colleges/thakur-college-of-engineering-technology-tcet-mumbai,2 Years,"Rs 2,68,862/-",,,,Master of Engineering
"Marian Engineering College, Thiruvananthapuram",https://www.collegesearch.in/colleges/marian-engineering-college-thiruvananthapuram,2 Years,,,,,Master of Technology (M.Tech)
"Samalkha Group of Institutions, Panipat",https://www.collegesearch.in/colleges/samalkha-group-of-institutions-panipat,2 Years,,,,,Master of Technology (M.Tech)
"Bharat Institute of Engineering & Technology, Hyderabad",https://www.collegesearch.in/colleges/bharat-institute-of-engineering-technology,2 Years,,,,,Master of Technology (M.Tech)
"Shadan College of Engineering & Technology, Hyderabad",https://www.collegesearch.in/colleges/shadan-college-of-engineering-technology-hyderabad,2 Years,,,,,Master of Technology (M.Tech)
"AISSMS College of Engineering, Pune",https://www.collegesearch.in/colleges/aissms-college-of-engineering-pune,2 Years,"Rs 2,17,300/-",,,,Master of Engineering
"Sree Sakthi Engineering College, Coimbatore",https://www.collegesearch.in/colleges/sree-sakthi-engineering-college-coimbatore,2 Years,,,,,Master of Engineering
Sigma Institute of Engineering,https://www.collegesearch.in/colleges/sigma-institute-of-engineering,2 Years,"Rs 1,20,000/-",,,,Master of Engineering
"SKP Engineering College, Tiruvannamalai",https://www.collegesearch.in/colleges/skp-engineering-college-tiruvannamalai,2 Years,"Rs 80,000/-",,,,Master of Engineering
"Oxford Engineering College, Trichy",https://www.collegesearch.in/colleges/oxford-engineering-college-trichy,2 Years,,,,,Master of Engineering
"Agni College of Technology, Chennai",https://www.collegesearch.in/colleges/agni-college-of-technology-chennai,2 Years,,,,,Master of Engineering
"Velammal College of Engineering and Technology, Madurai",https://www.collegesearch.in/colleges/velammal-college-of-engineering-and-technology-madurai,2 Years,,,,,Master of Technology (M.Tech)
"TIT College, Bhopal",https://www.collegesearch.in/colleges/tit-college-bhopal,2 Years,"Rs 1,20,000/-",,,,Master of Technology (M.Tech)
"IPS Group of Colleges, Gwalior",https://www.collegesearch.in/colleges/ips-group-of-colleges-gwalior,2 Years,,,,,Master of Engineering
"Alard Group of Institutes, Pune",https://www.collegesearch.in/colleges/alard-group-of-institutes-pune,2 Years,"Rs 2,20,240/-",,,,Master of Engineering
"Sree Chaitanya College of Engineering, Karimnagar",https://www.collegesearch.in/colleges/sree-chaitanya-college-of-engineering-karimnagar,2 Years,"Rs 1,14,000/-",,,,Master of Technology (M.Tech)
Bipin Tripathi Kumaon Institute of Technology,https://www.collegesearch.in/colleges/bipin-tripathi-kumaon-institute-of-technology,2 Years,"Rs 1,36,550/-",,,Autonomous,Master of Technology (M.Tech)
Rayat Bahra Group of Institutes - Ropar Campus,https://www.collegesearch.in/colleges/rayat-bahra-group-of-institutes-ropar-campus,2 Years,,,,,Master of Technology (M.Tech)
"Vidya College of Engineering, Meerut",https://www.collegesearch.in/colleges/vidya-college-of-engineering-meerut,2 Years,,,,,Master of Technology (M.Tech)
"Vemana Institute of Technology, Bangalore",https://www.collegesearch.in/colleges/vemana-institute-of-technology-bangalore,2 Years,"Rs 2,63,000/-",,,,Master of Technology (M.Tech)
"Saroj Institute of Technology & Management, Lucknow",https://www.collegesearch.in/colleges/saroj-institute-of-technology-management-lucknow,2 Years,"Rs 1,46,400/-",,,,Master of Technology (M.Tech)
"M Kumarasamy College of Engineering, Trichy",https://www.collegesearch.in/colleges/m-kumarasamy-college-of-engineering,2 Years,,,,,Master of Engineering
Sri Satya Sai University of Technology and Medical Sciences,https://www.collegesearch.in/colleges/sri-satya-sai-university-of-technology-and-medical-sciences,2 Years,"Rs 1,44,200/-",,,State Private University,Master of Technology (M.Tech)
"Finolex Academy of Management & Technology, Ratnagiri",https://www.collegesearch.in/colleges/finolex-academy-of-management-technology-ratnagiri,2 Years,,,,,Master of Engineering
MVR College of Engineering and Technology,https://www.collegesearch.in/colleges/mvr-college-of-engineering-and-technology,2 Years,"Rs 69,500/-",,,,Master of Technology (M.Tech)
"Jeppiaar Engineering College, Chennai",https://www.collegesearch.in/colleges/jeppiaar-engineering-college-chennai,2 Years,,,,,Master of Engineering
"SNJB&rsquo;s College of Engineering, Nashik",https://www.collegesearch.in/colleges/snjbs-college-of-engineering-nashik,2 Years,"Rs 1,20,000/-",,,,Master of Engineering
"Geeta University, Panipat",https://www.collegesearch.in/colleges/geeta-group-of-institutions-panipat,2 Years,"Rs 1,60,000/-",,,,Master of Technology (M.Tech)
"KMCT College of Engineering, Kozhikode",https://www.collegesearch.in/colleges/kmct-college-of-engineering-kozhikode,2 Years,,,,,Master of Technology (M.Tech)
Shri Venkateshwara University,https://www.collegesearch.in/university/shri-venkateshwara-university,2 Years,"Rs 2,50,000/-",,,State Private University,Master of Technology (M.Tech)
"Bhaddal Institutes (ROPAR), Ropar",https://www.collegesearch.in/colleges/bhaddal-institutes-ropar,3 Years,"Rs 1,95,200/-",,,,Master of Technology (M.Tech)
"KS Rangasamy College of Technology, Tiruchengode",https://www.collegesearch.in/colleges/ks-rangasamy-college-of-technology-tiruchengode,2 Years,"Rs 50,000/-",,,,Master of Engineering
"Chaitanya Engineering College, Visakhapatnam",https://www.collegesearch.in/colleges/chaitanya-engineering-college-visakhapatnam,2 Years,,,,,Master of Technology (M.Tech)
"Gurgaon Institute of Technology & Management, Gurgaon",https://www.collegesearch.in/colleges/gurgaon-institute-of-technology-management-gurgaon,2 Years,,,,,Master of Technology (M.Tech)
"Lala Lajpat Rai Institute of Engineering & Technology, Moga",https://www.collegesearch.in/colleges/lala-lajpat-rai-institute-of-engineering-technology,2 Years,,,,,Master of Technology (M.Tech)
Sree Buddha College of Engineering,https://www.collegesearch.in/colleges/sree-buddha-college-of-engineering,2 Years,,,,,Master of Technology (M.Tech)
"Sanjivani Rural Education Society&rsquo;s College of Engineering, Ahmednagar",https://www.collegesearch.in/colleges/sanjivani-rural-education-societys-college-of-engineering-ahmednagar,2 Years,"Rs 1,80,000/-",,,,Master of Engineering
"Dhanalakshmi Srinivasan College of Engineering and Technology, Chennai",https://www.collegesearch.in/colleges/dhanalakshmi-srinivasan-college-of-engineering-and-technology-chennai,2 Years,,,,,Master of Engineering
"Roorkee Institute of Technology, Roorkee",https://www.collegesearch.in/colleges/roorkee-institute-of-technology-roorkee,2 Years,"Rs 1,74,000/-",,,,Master of Technology (M.Tech)
"VNS Group of Institutions, Bhopal",https://www.collegesearch.in/colleges/vns-group-of-institutions-bhopal,2 Years,"Rs 1,20,000/-",,,,Master of Technology (M.Tech)
"Guntur Engineering College, Guntur",https://www.collegesearch.in/colleges/guntur-engineering-college-guntur,2 Years,"Rs 1,20,000/-",,,,Master of Technology (M.Tech)
"DAV Institute of Engineering & Technology, Jalandhar",https://www.collegesearch.in/colleges/dav-institute-of-engineering-technology-jalandhar,2 Years,,,,,Master of Technology (M.Tech)
"Mahendra College of Engineering, Salem",https://www.collegesearch.in/colleges/mahendra-college-of-engineering-salem,2 Years,,,,,Master of Engineering
"PRRM Engineering College, Rangareddy",https://www.collegesearch.in/colleges/prrm-engineering-college,2 Years,,,,,Master of Technology (M.Tech)
"Punjab Group of Colleges, Mohali",https://www.collegesearch.in/colleges/punjab-group-of-colleges,2 Years,,,,,Master of Technology (M.Tech)
"Yadavindra College of Engineering, Bhatinda",https://www.collegesearch.in/colleges/yadavindra-college-of-engineering-bhatinda,2 Years,,,,,Master of Technology (M.Tech)
"Krishnasamy College of Engineering & Technology, Cuddalore",https://www.collegesearch.in/colleges/krishnasamy-college-of-engineering-technology,2 Years,,,,,Master of Engineering
Er Perumal Manimekalai College of Engineering,https://www.collegesearch.in/colleges/er-perumal-manimekalai-college-of-engineering,2 Years,,,,,Master of Engineering
Adi Sankara Institute of Engineering & Technology,https://www.collegesearch.in/colleges/adi-sankara-institute-of-engineering-technology,2 Years,,,,,Master of Technology (M.Tech)
"Loyola Institute of Technology and Management (LITAM), Guntur",https://www.collegesearch.in/colleges/loyola-institute-of-technology-and-management-litam-guntur,2 Years,"Rs 1,12,000/-",,,,Master of Technology (M.Tech)
"Avanthi Institute of Engineering And Technology, Hyderabad",https://www.collegesearch.in/colleges/avanthi-institute-of-engineering-and-technology-hyderabad,2 Years,,,,,Master of Technology (M.Tech)
"Sri Ramanujar Engineering College, Chennai",https://www.collegesearch.in/colleges/sri-ramanujar-engineering-college-chennai,2 Years,,,,,Master of Engineering
"SAMS College of Engineering & Technology, Chennai",https://www.collegesearch.in/colleges/sams-college-of-engineering-technology-chennai,2 Years,,,,,Master of Engineering
QIS College of Engineering & Technology,https://www.collegesearch.in/colleges/qis-college-of-engineering-technology,2 Years,"Rs 1,14,000/-",,,,Master of Technology (M.Tech)
"Sat Kabir Institute of Technology & Management (SKITM), Bahadurgarh",https://www.collegesearch.in/colleges/sat-kabir-institute-of-technology-management-skitm-bahadurgarh,2 Years,"Rs 1,42,000/-",,,,Master of Technology (M.Tech)
Arjun College of Technology And Sciences,https://www.collegesearch.in/colleges/arjun-college-of-technology-and-sciences,2 Years,,,,,Master of Technology (M.Tech)
Nalla Narasimha Reddy Education Society&rsquo;s Group of Institutions,https://www.collegesearch.in/colleges/nalla-narasimha-reddy-education-societys-group-of-institutions,2 Years,,,,,Master of Technology (M.Tech)
"Maharishi Markandeshwar University, Solan",https://www.collegesearch.in/university/maharishi-markandeshwar-university-solan,2 Years,"Rs 1,40,000/-",,,State Private University,Master of Technology (M.Tech)
"Rajiv Gandhi College of Engineering, Chennai",https://www.collegesearch.in/colleges/rajiv-gandhi-college-of-engineering-chennai,2 Years,,,,,Master of Engineering
"Madina Engineering College, Kadapa",https://www.collegesearch.in/colleges/madina-engineering-college-kadapa,2 Years,,,,,Master of Technology (M.Tech)
"Scient Institute of Technology, Hyderabad",https://www.collegesearch.in/colleges/scient-institute-of-technology,2 Years,"Rs 57,000/-",,,,Master of Technology (M.Tech)
"SAL Institute of Technology & Engineering Research, Ahmedabad",https://www.collegesearch.in/colleges/sal-institute-of-technology-engineering-research-ahmedabad,2 Years,,,,,Master of Engineering
"Maheshwara Institute of Technology (MIT), Hyderabad",https://www.collegesearch.in/colleges/maheshwara-institute-of-technology-mit-hyderabad,2 Years,,,,,Master of Technology (M.Tech)
"Sir CRR College of Engineering, Eluru",https://www.collegesearch.in/colleges/sir-crr-college-of-engineering,2 Years,"Rs 1,25,000/-",,,,Master of Technology (M.Tech)
"Christ College of Engineering and Technology, Pondicherry",https://www.collegesearch.in/colleges/christ-college-of-engineering-and-technology,2 Years,,,,,Master of Technology (M.Tech)
"Shantilal Shah Engineering College, Bhavnagar",https://www.collegesearch.in/colleges/shantilal-shah-engineering-college,2 Years,,,,,Master of Engineering
"Shri Hanuman Vyayam Prasarak Mandal&rsquo;s College of Engineering and Technology, Amravati",https://www.collegesearch.in/colleges/shri-hanuman-vyayam-prasarak-mandals-college-of-engineering-and-technology-amravati,2 Years,,,,,Master of Engineering
TRR College of Engineering,https://www.collegesearch.in/colleges/trr-college-of-engineering,2 Years,,,,,Master of Technology (M.Tech)
"Stanley College of Engineering & Technology for Women, Hyderabad",https://www.collegesearch.in/colleges/stanley-college-of-engineering-technology-for-women-hyderabad,2 Years,"Rs 1,14,000/-",,,,Master of Engineering
"PYDAH College of Enginnering & Technology, Visakhapatnam",https://www.collegesearch.in/colleges/pydah-college-of-enginnering-technology-visakhapatnam,2 Years,,,,,Master of Technology (M.Tech)
"CK Pithawalla College of Engineering & Technology, Surat",https://www.collegesearch.in/colleges/ck-pithawalla-college-of-engineering-technology-surat,2 Years,,,,,Master of Technology (M.Tech)
"Gurukul Vidyapeeth Group of Institutes, Patiala",https://www.collegesearch.in/colleges/gurukul-vidyapeeth-group-of-institutes-patiala,2 Years,,,,,Master of Technology (M.Tech)
Bahubali College of Engineering,https://www.collegesearch.in/colleges/bahubali-college-of-engineering,2 Years,,,,,Master of Engineering
Shri Ram College of Engineering & Management,https://www.collegesearch.in/colleges/shri-ram-college-of-engineering-management,2 Years,"Rs 2,93,160/-",,,,Master of Technology (M.Tech)
"KLE DR M S Sheshgiri College of Engineering & Technology, Belgaum",https://www.collegesearch.in/colleges/kle-dr-m-s-sheshgiri-college-of-engineering-technology-belgaum,2 Years,,,,,Master of Technology (M.Tech)
Sri Vasavi Institute of Engineering and Technology,https://www.collegesearch.in/colleges/sri-vasavi-institute-of-engineering-and-technology,2 Years,,,,,Master of Technology (M.Tech)
"Caarmel Engineering College, Thiruvalla",https://www.collegesearch.in/colleges/caarmel-engineering-college-thiruvalla,2 Years,,,,,Master of Technology (M.Tech)
"Lenora College of Engineering, East godavari",https://www.collegesearch.in/colleges/lenora-college-of-engineering,2 Years,"Rs 1,14,000/-",,,,Master of Technology (M.Tech)
"KS Institute of Technology, Bangalore",https://www.collegesearch.in/colleges/ks-institute-of-technology-bangalore,2 Years,"Rs 48,400/-",,,,Master of Technology (M.Tech)
Musaliar College of Engineering & Technology,https://www.collegesearch.in/colleges/musaliar-college-of-engineering-technology,2 Years,,,,,Master of Technology (M.Tech)
"VYWS Prof Ram Meghe Institute of Technology & Research, Amravati",https://www.collegesearch.in/colleges/vyws-prof-ram-meghe-institute-of-technology-research-amravati,2 Years,,,,,Master of Engineering
"KCE Society&rsquo;s College of Engineering & Information Technology, Jalgaon",https://www.collegesearch.in/colleges/kce-societys-college-of-engineering-information-technology-jalgaon,2 Years,"Rs 1,24,000/-",,,,Master of Engineering
"Radharaman Institute of Technology & Science, Bhopal",https://www.collegesearch.in/colleges/radharaman-institute-of-technology-science-bhopal,2 Years,,,,,Master of Technology (M.Tech)
MAR College of Engineering and Technology,https://www.collegesearch.in/colleges/mar-college-of-engineering-and-technology,2 Years,"Rs 80,000/-",,,,Master of Engineering
"Sobhasaria Engineering College, Sikar",https://www.collegesearch.in/colleges/sobhasaria-engineering-college-sikar,2 Years,,,,,Master of Technology (M.Tech)
"Rajasthan College of Engineering for Women, Jaipur",https://www.collegesearch.in/colleges/rajasthan-college-of-engineering-for-women-jaipur,2 Years,"Rs 3,57,500/-",,,,Master of Technology (M.Tech)
"Truba Institute of Engineering & Information Technology, Bhopal",https://www.collegesearch.in/colleges/truba-institute-of-engineering-information-technology-bhopal,2 Years,"Rs 1,30,000/-",,,,Master of Engineering
"Truba College of Science & Technology, Bhopal",https://www.collegesearch.in/colleges/truba-college-of-science-technology-bhopal,2 Years,,,,,Master of Technology (M.Tech)
"Guru Gobind Singh College of Engineering & Technology, Bhatinda",https://www.collegesearch.in/colleges/guru-gobind-singh-college-of-engineering-technology-bhatinda,2 Years,,,,,Master of Technology (M.Tech)
"Arignar Anna Institute of Science Technology, Chennai",https://www.collegesearch.in/colleges/arignar-anna-institute-of-science-technology-chennai,2 Years,,,,,Master of Engineering
"CU Shah College of Engineering & Technology, Wadhwan",https://www.collegesearch.in/colleges/cu-shah-college-of-engineering-technology-wadhwan,2 Years,"Rs 1,44,000/-",,,,Master of Technology (M.Tech)
"Mar Baselios College of Engineering & Technology, Thiruvananthapuram",https://www.collegesearch.in/colleges/mar-baselios-college-of-engineering-technology-thiruvananthapuram,2 Years,,,,,Master of Technology (M.Tech)
"Sri Chundi Ranganayakulu Engineering College, Guntur",https://www.collegesearch.in/colleges/sri-chundi-ranganayakulu-engineering-college-guntur,2 Years,,,,,Master of Technology (M.Tech)
"Christ Knowledge City, Kochi",https://www.collegesearch.in/colleges/christ-knowledge-city,2 Years,,,,,Master of Technology (M.Tech)
MET Engineering College,https://www.collegesearch.in/colleges/met-engineering-college,2 Years,,,,,Master of Engineering
"Vijaya Krishna Institute Of Technology & Science, Hyderabad",https://www.collegesearch.in/colleges/vijaya-krishna-institute-of-technology-science-hyderabad,2 Years,,,,,Master of Technology (M.Tech)
"Vathsalya Institute of Science & Technology, Nalgonda",https://www.collegesearch.in/colleges/vathsalya-institute-of-science-technology,2 Years,"Rs 1,10,300/-",,,,Master of Technology (M.Tech)
"Dhanalakshmi Srinivasan College of Engineering, Coimbatore",https://www.collegesearch.in/colleges/dhanalakshmi-srinivasan-college-of-engineering-coimbatore,2 Years,,,,,Master of Engineering
"Christ The King Engineering College, Coimbatore",https://www.collegesearch.in/colleges/christ-the-king-engineering-college-coimbatore,2 Years,,,,,Master of Engineering
"Francis Xavier Engineering College, Tirunelveli",https://www.collegesearch.in/colleges/francis-xavier-engineering-college,2 Years,,,,,Master of Engineering
"Priyadarshini Institute of Engineering & Technology, Nagpur",https://www.collegesearch.in/colleges/priyadarshini-institute-of-engineering-technology-nagpur,2 Years,,,,,Master of Technology (M.Tech)
"Al-Ameer College of Engineering & Information Technology, Visakhapatnam",https://www.collegesearch.in/colleges/al-ameer-college-of-engineering-information-technology-visakhapatnam,2 Years,"Rs 1,08,000/-",,,,Master of Technology (M.Tech)
"Sri Balaji Chockalingam Engineering College, Tiruvannamalai",https://www.collegesearch.in/colleges/sri-balaji-chockalingam-engineering-college-tiruvannamalai,2 Years,,,,,Master of Engineering
"Techno INDIA NJR Institute of Technology, Udaipur",https://www.collegesearch.in/colleges/techno-india-njr-institute-of-technology-udaipur,2 Years,,,,,Master of Technology (M.Tech)
"Bharathiyar College of Engineering & Technology, Karaikal",https://www.collegesearch.in/colleges/bharathiyar-college-of-engineering-technology-karaikal,2 Years,,,,,Master of Technology (M.Tech)
Jawaharlal Institute of Technology,https://www.collegesearch.in/colleges/jawaharlal-institute-of-technology,2 Years,"Rs 1,69,500/-",,,,Master of Engineering
"Christian College of Engineering & Technology, Dindigul",https://www.collegesearch.in/colleges/christian-college-of-engineering-technology-dindigul,2 Years,,,,,Master of Engineering
"Lord Jegannath College of Engineering & Technology, Kanyakumari",https://www.collegesearch.in/colleges/lord-jegannath-college-of-engineering-technology-kanyakumari,2 Years,"Rs 90,000/-",,,,Master of Engineering
Shree UV Patel College of Engineering,https://www.collegesearch.in/colleges/shree-uv-patel-college-of-engineering,2 Years,,,,,Master of Technology (M.Tech)
IITT College of Engineering - Sirmaur,https://www.collegesearch.in/colleges/iitt-college-of-engineering-sirmaur,2 Years,"Rs 1,60,000/-",,,,Master of Technology (M.Tech)
"JKK Munirajah College of Technology, Erode",https://www.collegesearch.in/colleges/jkk-munirajah-college-of-technology-erode,2 Years,,,,,Master of Engineering
Chendhuran College of Engineering & Technology,https://www.collegesearch.in/colleges/chendhuran-college-of-engineering-technology,2 Years,,,,,Master of Engineering
KLR College of Engineering & Technology,https://www.collegesearch.in/colleges/klr-college-of-engineering-technology,2 Years,,,,,Master of Technology (M.Tech)
"Bheema Institute of Technology and Science, Kurnool",https://www.collegesearch.in/colleges/bheema-institute-of-technology-and-science-kurnool,2 Years,,,,,Master of Technology (M.Tech)
"Advanced Institute of Technology & Management, Faridabad",https://www.collegesearch.in/colleges/advanced-institute-of-technology-management-faridabad,2 Years,"Rs 1,91,220/-",,,,Master of Technology (M.Tech)
"Dr KV Subba Reddy College Of Engineering For Women, Kurnool",https://www.collegesearch.in/colleges/dr-kv-subba-reddy-college-of-engineering-for-women-kurnool,2 Years,,,,,Master of Technology (M.Tech)
"Bhagwant Institute of Technology, Muzaffaranagar",https://www.collegesearch.in/colleges/bhagwant-institute-of-technology-muzaffaranagar,2 Years,,,,,Master of Technology (M.Tech)
"Baselios Mathews II College of Engineering, Kollam",https://www.collegesearch.in/colleges/baselios-mathews-ii-college-of-engineering-kollam,2 Years,"Rs 3,00,000/-",,,,Master of Technology (M.Tech)
"Arulmurugan College of Engineering, Karur",https://www.collegesearch.in/colleges/arulmurugan-college-of-engineering,2 Years,"Rs 2,08,800/-",,,,Master of Engineering
"Rayat Bahra Group of Institutes, Patiala",https://www.collegesearch.in/colleges/rayat-bahra-group-of-institutes-patiala,2 Years,,,,,Master of Technology (M.Tech)
"Radhaswami Institute of Technology, Jabalpur",https://www.collegesearch.in/colleges/radhaswami-institute-of-technology-jabalpur,2 Years,,,,,Master of Engineering
ASR College of Engineering,https://www.collegesearch.in/colleges/asr-college-of-engineering,2 Years,,,,,Master of Technology (M.Tech)
"Sarabhai Institute of Science and Technology (SIST), Trivandrum",https://www.collegesearch.in/colleges/sarabhai-institute-of-science-and-technology-sist-trivandrum,2 Years,"Rs 30,000/-",,,,Master of Technology (M.Tech)
"IILM Academy of Higher Learning College of Management Studies, Greater Noida",https://www.collegesearch.in/colleges/iilm-academy-of-higher-learning-college-of-management-studies-greater-noida,2 Years,"Rs 1,50,000/-",,,,Master of Technology (M.Tech)
"CT Institute of Engineering Management and Technology (CT IEMT), Jalandhar",https://www.collegesearch.in/colleges/ct-institute-of-engineering-management-and-technology-ct-iemt-jalandhar,2 Years,,,,,Master of Technology (M.Tech)
"R N Modi Engineering College, Kota",https://www.collegesearch.in/colleges/r-n-modi-engineering-college-kota,2 Years,,,,,Master of Technology (M.Tech)
Shekhawati Engineering College,https://www.collegesearch.in/colleges/shekhawati-engineering-college,2 Years,"Rs 1,00,000/-",,,,Master of Technology (M.Tech)
Brahmaiah College of Engineering,https://www.collegesearch.in/colleges/brahmaiah-college-of-engineering,2 Years,,,,,Master of Technology (M.Tech)
"St Michael College of Engineering & Technology, Sivaganga",https://www.collegesearch.in/colleges/st-michael-college-of-engineering-technology,2 Years,,,,,Master of Engineering
"Vivekanandha Institute of Engineering & Technology for Women, Tiruchengode",https://www.collegesearch.in/colleges/vivekanandha-institute-of-engineering-technology-for-women-tiruchengode,2 Years,,,,,Master of Engineering
"Tudi Narasimha Reddy Institution of Technology & Sciences, Hyderabad",https://www.collegesearch.in/colleges/tudi-narasimha-reddy-institution-of-technology-sciences-hyderabad,2 Years,,,,,Master of Technology (M.Tech)
Marri Laxman Reddy Institute of Technology and Management,https://www.collegesearch.in/colleges/marri-laxman-reddy-institute-of-technology-and-management,2 Years,"Rs 2,24,000/-",,,,Master of Engineering
"Sujala Bharati Institute Of Technology, Hyderabad",https://www.collegesearch.in/colleges/sujala-bharati-institute-of-technology,2 Years,"Rs 1,14,000/-",,,,Master of Technology (M.Tech)
"Prathyusha institute of techonology and management, Chennai",https://www.collegesearch.in/colleges/prathyusha-institute-of-techonology-and-management,2 Years,,,,,Master of Engineering
"Applied College of Management & Engineering, Faridabad",https://www.collegesearch.in/colleges/applied-college-of-management-engineering-faridabad,2 Years,"Rs 1,12,000/-",,,,Master of Technology (M.Tech)
"Sri Krishnadevaraya University College of engineering, Ananthapur",https://www.collegesearch.in/colleges/sri-krishnadevaraya-university-college-of-engineering,2 Years,"Rs 1,14,000/-",,,,Master of Technology (M.Tech)
"Arya College of Engineering & Research Centre (ACERC), Jaipur",https://www.collegesearch.in/colleges/arya-college-of-engineering-research-centre-acerc-jaipur,2 Years,,,,,Master of Technology (M.Tech)
"Koustuv Institute of Self Domain, Bhubaneswar",https://www.collegesearch.in/colleges/koustuv-institute-of-self-domain-bhubaneswar,2 Years,,,,,Master of Technology (M.Tech)
"Vel Sri Rangarajan Sakunthala College of Multimedia, Chennai",https://www.collegesearch.in/colleges/vel-sri-rangarajan-sakunthala-college-of-multimedia-chennai,2 Years,,,,,Master of Technology (M.Tech)
MNSK College of Engineering,https://www.collegesearch.in/colleges/mnsk-college-of-engineering,2 Years,"Rs 1,00,000/-",,,,Master of Engineering
"Rayat Bahra Techhnology Centre for Excellence, Patiala",https://www.collegesearch.in/colleges/rayat-bahra-techhnology-centre-for-excellence-patiala,2 Years,,,,,Master of Technology (M.Tech)
"Bhopal Institute of Technology & Science, Bhopal",https://www.collegesearch.in/colleges/bhopal-institute-of-technology-science-bhopal,2 Years,,,,,Master of Technology (M.Tech)
"AVS College of Engineering and Technology, Nellore",https://www.collegesearch.in/colleges/avs-college-of-engineering-and-technology-nellore,2 Years,"Rs 1,70,000/-",,,,Master of Technology (M.Tech)
KC College of Engineering and Information Technology,https://www.collegesearch.in/colleges/kc-college-of-engineering-and-information-technology,2 Years,,,,,Master of Technology (M.Tech)
Sir CR Reddy College of Engineering,https://www.collegesearch.in/colleges/sir-cr-reddy-college-of-engineering,2 Years,,,,,Master of Technology (M.Tech)
"Dr Samuel George Institute of Engineering and Technology, Prakasam",https://www.collegesearch.in/colleges/dr-samuel-george-institute-of-engineering-and-technology,2 Years,,,,,Master of Technology (M.Tech)
"Nagaji Educational Empire, Gwalior",https://www.collegesearch.in/colleges/nagaji-educational-empire-gwalior,2 Years,,,,,Master of Technology (M.Tech)
"SWVSM&rsquo;s Tatyasaheb Kore Institute of Engineering & Technology, Kolhapur",https://www.collegesearch.in/colleges/swvsms-tatyasaheb-kore-institute-of-engineering-technology-kolhapur,2 Years,,,,,Master of Engineering
"Orissa Engineering College, Bhubaneswar",https://www.collegesearch.in/colleges/orissa-engineering-college-bhubaneswar,2 Years,,,,,Master of Technology (M.Tech)
ShriRam College of Engineering & Management - (SRCEM),https://www.collegesearch.in/colleges/shriram-college-of-engineering-management-srcem,2 Years,,,,,Master of Technology (M.Tech)
"Manav Institute of Technology & Management, Hisar",https://www.collegesearch.in/colleges/manav-institute-of-technology-management-hisar,2 Years,"Rs 1,80,000/-",,,,Master of Technology (M.Tech)
"International Institute of Technology and Management, Sonepat",https://www.collegesearch.in/colleges/international-institute-of-technology-and-management-sonepat,2 Years,,,,,Master of Technology (M.Tech)
"Dalal Global Institute of Technology, Rohtak",https://www.collegesearch.in/colleges/dalal-global-institute-of-technology-rohtak,2 Years,"Rs 1,21,000/-",,,,Master of Technology (M.Tech)
"Disha Institute of Management & Technology, Raipur",https://www.collegesearch.in/colleges/disha-institute-of-management-technology-raipur,2 Years,,,,,Master of Technology (M.Tech)
"Shahjehan College of Engineering & Technology, Hyderabad",https://www.collegesearch.in/colleges/shahjehan-college-of-engineering-technology-hyderabad,2 Years,,,,,Master of Technology (M.Tech)
"Institute of Engineering & Technology - Ropar, Ropar",https://www.collegesearch.in/colleges/institute-of-engineering-technology-ropar,2 Years,,,,,Master of Technology (M.Tech)
"Galaxy Institute of Technology & Management, Karnal",https://www.collegesearch.in/colleges/galaxy-institute-of-technology-management-karnal,2 Years,"Rs 1,36,000/-",,,,Master of Technology (M.Tech)
"Bhagwan Parshuram College of Engineering, Sonepat",https://www.collegesearch.in/colleges/bhagwan-parshuram-college-of-engineering-sonepat,2 Years,,,,,Master of Technology (M.Tech)
"Shriram College of Engineering & Management, Gwalior",https://www.collegesearch.in/colleges/shriram-college-of-engineering-management-gwalior,2 Years,"Rs 1,20,000/-",,,,Master of Technology (M.Tech)
"Department of Computer Science - Himachal Pradesh University, Shimla",https://www.collegesearch.in/colleges/department-of-computer-science-himachal-pradesh-university-shimla,2 Years,,,,,Master of Technology (M.Tech)
"Institute of Technology & Management, Gwalior",https://www.collegesearch.in/colleges/institute-of-technology-management-gwalior,2 Years,"Rs 1,21,500/-",,,,Master of Technology (M.Tech)
Balasore College of Engineering & Technology,https://www.collegesearch.in/colleges/balasore-college-of-engineering-technology,2 Years,,,,,Master of Technology (M.Tech)
Shaaz College of Engineering and Technology,https://www.collegesearch.in/colleges/shaaz-college-of-engineering-and-technology,2 Years,,,,,Master of Technology (M.Tech)
Sir Visvesvaraya Institute Of Technology,https://www.collegesearch.in/colleges/sir-visvesvaraya-institute-of-technology,2 Years,"Rs 2,32,043/-",,,,Master of Engineering
"Srinivas Reddy Institute of Technology, Nizambad",https://www.collegesearch.in/colleges/srinivas-reddy-institute-of-technology-nizambad,2 Years,,,,,Master of Technology (M.Tech)
"Nagarjuna Institute of Technology & Sciences, Guntur",https://www.collegesearch.in/colleges/nagarjuna-institute-of-technology-sciences,2 Years,,,,,Master of Technology (M.Tech)
"Parvara Rural Engineering College, Ahmednagar",https://www.collegesearch.in/colleges/parvara-rural-engineering-college-ahmednagar,2 Years,,,,,Master of Engineering
"Mount Zion College of Engineering & Technology, Pudukkottai",https://www.collegesearch.in/colleges/mount-zion-college-of-engineering-technology,2 Years,,,,,Master of Engineering
