program,course_languageEn,duration,university_name,ielts,toefl,gpa,fees,college_link
bsc business administration,english,4 years,goodwin university,5.0,61.0,0.0,39976.0,not specified
bsc health science,english,4 years,goodwin university,5.0,61.0,0.0,39976.0,not specified
bsc human services,english,4 years,goodwin university,5.0,61.0,0.0,39976.0,not specified
bsc manufacturing management,english,4 years,goodwin university,5.0,61.0,0.0,39976.0,not specified
bsc professional studies,english,4 years,goodwin university,5.0,61.0,0.0,39976.0,not specified
msc organizational leadership,english,2 years,goodwin university,6.0,85.0,3.0,10710.0,not specified
bachelor of technology (b.tech),not specified,4 years,gopal krisna college of engineering and technology (gkcet),5.925531104850377,80.61120840630473,0.0,2650.6,https://www.collegesearch.in/colleges/gopal-krisna-college-of-engineering-and-technology-gkcet
bachelor of engineering,not specified,4 years,"gopalan college of engineering and management (gcem), bangalore",5.925531104850377,80.61120840630473,0.0,6674.7,https://www.collegesearch.in/colleges/gopalan-college-of-engineering-and-management-gcem-bangalore
master of business administration(mba),not specified,2 years,"gopalan college of engineering and management (gcem), bangalore",5.925531104850377,80.61120840630473,0.0,4216.87,https://www.collegesearch.in/colleges/gopalan-college-of-engineering-and-management-gcem-bangalore
bachelor of business administration (bba),not specified,3 years,"goswami ganesh dutta sd college (ggdsd), chandigarh",5.925531104850377,80.61120840630473,0.0,289.16,https://www.collegesearch.in/colleges/goswami-ganesh-dutta-s-d-college-chandigarh
bachelor of business administration (bba),not specified,3 years,"government arts college - salem, salem",5.925531104850377,80.61120840630473,0.0,38.31,https://www.collegesearch.in/colleges/government-arts-college-salem
bachelor of technology (b.tech),not specified,4 years,"government college of engineering & ceramic technology, kolkata",5.925531104850377,80.61120840630473,0.0,578.31,https://www.collegesearch.in/colleges/government-college-of-engineering-ceramic-technology-kolkata
bachelor of technology (b.tech),not specified,4 years,"government college of engineering & textile technology, murshidabad",5.925531104850377,80.61120840630473,0.0,415.42,https://www.collegesearch.in/colleges/government-college-of-engineering-textile-technology-murshidabad
